,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Latitude,Longitude
0,41.4,41.4,41.4,41.6283,-106.2013
1,1.8,1.8,1.8,41.657539,-106.189183
2,24.8,24.8,24.8,41.666469,-106.183278
3,16.8,16.8,16.8,41.6744,-106.1805
4,50.0,50.0,50.0,41.7172,-106.1077
5,144.0,144.0,144.0,41.2874,-110.5556
6,64.5,64.5,64.5,43.4195,-111.8294
7,18.9,18.9,18.9,40.071389,-111.582222
8,61.0,61.0,61.0,41.288056,-110.480741
9,80.0,80.0,80.0,41.263889,-110.544444
10,99.0,99.0,99.0,43.0181,-105.835278
11,39.0,39.0,39.0,43.0181,-105.835278
12,99.0,99.0,99.0,43.0572,-105.8543
13,99.0,99.0,99.0,41.9203,-106.3758
14,19.5,19.5,19.5,41.9203,-106.3758
15,28.5,28.5,28.5,41.7244,-105.9906
16,99.0,99.0,99.0,41.675052,-106.011124
17,99.0,99.0,99.0,43.01455,-105.999
18,17.0,17.0,17.0,42.884703,-106.221442
19,124.5,124.5,124.5,43.467057,-111.836381
20,111.0,111.0,111.0,42.043611,-106.160278
21,200.0,200.0,200.0,42.9258,-105.7872
22,22.5,22.5,22.5,42.703333,-112.757778
23,22.5,22.5,22.5,42.738889,-112.748611
24,119.7,115.8,115.8,43.524429,-111.803921
25,1.7,1.7,1.7,40.50303,-112.37059
26,62.1,62.1,62.1,37.886706,-109.36839
27,80.0,80.0,80.0,42.728198,-105.866765
